layer_id,display_name,domain,source_family,resolution,temporal_basis,current_status,referenced_by_current_app,code_exists,role,risk_direction,recommended_score_method,evidence_grade,primary_dimension,priority,input_requirements,notes,source_reference
MARINE_CHL,Surface chlorophyll-a,marine,Blue Communities / University of Plymouth,~0.1 degree (~11 km),monthly annual files -> multi-year climatology,MARINE_CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,mixed,fixed_relative,B,marine_productivity,Medium,annual marine NetCDF,Current v9 marine workflow builds climatologies and change-from-historical layers; final marine AOI still required for final products.,Sabah_Marine_Vision_BlueCommunities_processing_v9.R
MARINE_PHYTO,Phytoplankton biomass,marine,Blue Communities / University of Plymouth,~0.1 degree (~11 km),monthly annual files -> multi-year climatology,MARINE_CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,mixed,fixed_relative,B,marine_productivity,Medium,annual marine NetCDF,Current v9 marine workflow builds climatologies and change-from-historical layers; final marine AOI still required for final products.,Sabah_Marine_Vision_BlueCommunities_processing_v9.R
MARINE_ZOO,Zooplankton biomass,marine,Blue Communities / University of Plymouth,~0.1 degree (~11 km),monthly annual files -> multi-year climatology,MARINE_CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,mixed,fixed_relative,B,marine_productivity,Medium,annual marine NetCDF,Current v9 marine workflow builds climatologies and change-from-historical layers; final marine AOI still required for final products.,Sabah_Marine_Vision_BlueCommunities_processing_v9.R
FISH_BIOMASS,Projected fish biomass change by functional group,marine,SS-DBEM / University of Plymouth,~0.5 degree (~55 km),annual -> 10-year means,OLDER_INVENTORY_VERIFY,No,Older workflow,impact,low,direct_change,A,fisheries_biomass,High,SS-DBEM species projections,Previously created for Sabah-relevant species; confirm files and periods.,Uploaded layer inventory
SLR_INUNDATION,Potential sea-level-rise inundation,coastal,Copernicus GTSM + CoastalDEM,~90 m DEM + coastal projections,2050 / return periods,OLDER_INVENTORY_VERIFY,No,Older workflow,impact,high,direct_exposure,A,coastal_inundation,High,SLR + DEM,Confirm current files and scenario limitation.,Uploaded layer inventory
STORM_SURGE_INUNDATION,Potential storm-surge inundation,coastal,Copernicus GTSM + CoastalDEM,~90 m DEM + coastal projections,return periods,OLDER_INVENTORY_VERIFY,No,Older workflow,impact,high,direct_exposure,A,coastal_inundation,High,storm surge + DEM,Confirm current files; original workflow only high-emission pathway.,Uploaded layer inventory
DRYMONTH100,Months with rainfall <100 mm,agriculture,monthly precipitation,~1 km,monthly climatology,DERIVE_FROM_EXISTING_INPUTS,No,Starter code,scoring,high,threshold_direct,A,oil_palm_water,Very High,Monthly precipitation,Directly interpretable oil-palm dry-month indicator.,Proposed v1 registry
CONDRYMONTH100,Maximum consecutive months with rainfall <100 mm,agriculture,monthly precipitation,~1 km,monthly climatology,DERIVE_FROM_EXISTING_INPUTS,No,Starter code,scoring,high,threshold_direct,A,oil_palm_water,Very High,Monthly precipitation,Use cyclic run across Dec-Jan; prolonged >2 months has Malaysian oil-palm evidence.,Proposed v1 registry
CWD_DEFICIT,"Annual climatic water deficit: sum max(PET-P,0)",terrestrial/agriculture,monthly precipitation + PET,~1 km,monthly climatology,DERIVE_FROM_EXISTING_INPUTS,No,Starter code,scoring,high,fixed_relative,B,water_stress,Very High,Monthly precipitation and PET,More interpretable severity measure in mm; do not label as soil-water deficit.,Proposed v1 registry
VPD_MEAN,Mean vapour pressure deficit,terrestrial/agriculture,daily or monthly temperature + RH,~25 km daily or ~1 km if suitable RH,daily/monthly,DERIVE_FROM_EXISTING_INPUTS,No,Starter code,scoring,high,fixed_relative,B,atmospheric_demand,Very High,Temperature + relative humidity,Mechanistic atmospheric-demand layer; no universal oil-palm threshold recommended initially.,Proposed v1 registry
VPD_P90,90th percentile vapour pressure deficit,terrestrial/agriculture,daily temperature + RH,~25 km,daily -> climatology,DERIVE_FROM_EXISTING_INPUTS,No,No,scoring,high,fixed_relative,B,atmospheric_demand,High,Daily temperature + RH,Captures high-demand tail.,Proposed v1 registry
WORKABILITY_LOSS_HEAVY,Potential heavy-manual-work capacity loss,human/operations,daily WBGT,~25 km,daily -> climatology,DERIVE_FROM_EXISTING_INPUTS,No,Starter code,scoring,high,threshold_direct,A,worker_heat,Very High,Daily WBGT,"Reusable optional dimension for oil palm, restoration, rice, rubber and infrastructure field work.",Proposed v1 registry
WORKABILITY_LT75_DAYS,Days heavy-work capacity <75%,human/operations,daily WBGT,~25 km,daily -> climatology,DERIVE_FROM_EXISTING_INPUTS,No,Starter code,scoring,high,threshold_direct,A,worker_heat,High,Daily WBGT,Operationally intuitive companion metric.,Proposed v1 registry
KBDI,Keetch-Byram Drought Index,fire,daily Tmax + precipitation + annual rainfall,~25 km,daily -> climatology,DERIVE_FROM_EXISTING_INPUTS,No,No,scoring,high,threshold_or_fixed,B,fire_drought,High,"Daily Tmax, precipitation, mean annual rainfall",Relevant because Sabah Forestry uses KBDI; implement after confirming local convention/initialization.,Proposed v1 registry
WSDI,Warm Spell Duration Index,terrestrial/human,daily Tmax + baseline percentile,~25 km,daily -> climatology,DERIVE_FROM_EXISTING_INPUTS,No,No,scoring,high,fixed_relative,B,extreme_heat,High,Daily Tmax + baseline day-of-year threshold,Standard percentile-based heat-duration index.,Proposed v1 registry
TX90P,Percentage/days Tmax above baseline 90th percentile,terrestrial/human,daily Tmax + baseline percentile,~25 km,daily -> climatology,DERIVE_FROM_EXISTING_INPUTS,No,No,scoring,high,fixed_relative,B,extreme_heat,High,Daily Tmax,Useful relative extreme-heat frequency.,Proposed v1 registry
TN90P,Percentage/days Tmin above baseline 90th percentile,terrestrial/human,daily Tmin + baseline percentile,~25 km,daily -> climatology,DERIVE_FROM_EXISTING_INPUTS,No,No,scoring,high,fixed_relative,B,night_heat,High,Daily Tmin,Night-time heat/recovery dimension.,Proposed v1 registry
CLIMATE_VELOCITY,Climate velocity,biodiversity,climate surface + spatial gradient,native input,baseline vs future,DERIVE_FROM_EXISTING_INPUTS,No,No,scoring,high,fixed_relative,B,climate_stability,Medium,Temperature or multivariate climate surfaces,Useful biodiversity exposure metric; not a biological impact threshold.,Proposed v1 registry
CLIMATE_STABILITY,Multivariate climate stability/refugia score,biodiversity,multiple climate layers,native input,baseline vs future,DERIVE_FROM_EXISTING_INPUTS,No,No,scoring,low,fixed_relative,C,climate_stability,Medium,Selected normalized climate variables,Needs careful variable selection and correlation control.,Proposed v1 registry
FLOOD_SUSC,Flood susceptibility,terrestrial,static + hydrology/terrain,varies,static,REQUIRES_ADDITIONAL_DATA,No,No,modifier,high,direct_exposure,B,flood_waterlogging,High,Flood susceptibility model/data,"Useful modifier for restoration, oil palm and infrastructure; not available from climate variables alone.",Proposed v1 registry
LANDSLIDE_SUSC,Landslide susceptibility,terrestrial,terrain/geology/soil/land cover,varies,static,REQUIRES_ADDITIONAL_DATA,No,No,modifier,high,direct_exposure,B,landslide_trigger,High,Landslide susceptibility model/data,Combine with rainfall trigger layers; requires static susceptibility surface.,Proposed v1 registry
SOIL_AWC,Soil available water capacity,terrestrial,soil data,varies,static,REQUIRES_ADDITIONAL_DATA,No,No,modifier,mixed,none,B,water_stress,Medium,Soil properties,Needed to move from climatic moisture deficit toward plant-available water stress.,Proposed v1 registry
OILPALM_EXTENT,Oil palm extent/mask,agriculture,land cover,varies,static,REQUIRES_ADDITIONAL_DATA,No,No,modifier,mixed,none,A,exposure_mask,High,Current land cover/oil palm extent,"Mask/asset layer, not a climate score.",Proposed v1 registry
FOREST_TYPE,Forest/ecosystem type,biodiversity/restoration,vegetation map,varies,static,REQUIRES_ADDITIONAL_DATA,No,No,modifier,mixed,none,A,exposure_mask,High,Forest type map,Needed for restoration-context-specific interpretation.,Proposed v1 registry
